respid,Gender,Age,Age_Breaks,Region2,Race,Language_Dominance,Parent,HH_Income,Employment,Education,Marital_Status,Total_Paid_HE_Movies,Bought_Disc_DVD,Bought_Disc_BD,Bought_Digital,Rented_Disc_Store,Rented_Disc_Kiosk,Rented_Disc_Mail,Rented_Digital_iVOD,Rented_Digital_sVOD,Rented_Digital_cVOD,cqhidGroup,filter_$,ZTotal_Paid_HE_Movies,Buy_Disc_Percent,Buy_Digital_Percent,Rent_Disc_Percent,Rent_Digital_Percent
5356,2,28,25-34,3,5,5,1,10,4,3,3,24,2,2,2,0,12,0,0,6,0,1,1,.215400569722587,.166666666666667,.0833333333333333,.5,.25
5361,2,24,18-24,4,5,4,2,5,2,7,3,15,0,2,3,0,0,0,1,9,0,1,1,-.155425391681621,.133333333333333,.2,0,.666666666666667
5368,1,39,35-44,4,2, ,1,9,1,6,3,6,0,2,0,0,0,0,0,4,0,1,1,-.526251353085829,.333333333333333,0,0,.666666666666667
5378,2,38,35-44,1,3, ,1,5,4,3,3,18,0,0,0,0,12,0,0,0,6,1,1,-.0318167378802181,0,0,.666666666666667,.333333333333333
5383,1,73,65-74,1,2, ,2,2,3,3,1,22,8,2,0,0,0,0,2,10,0,1,1,.132994800521652,.454545454545455,0,0,.545454545454545
5384,2,54,45-54,3,1, ,2,6,3,6,3,2,0,0,0,0,0,0,0,2,0,1,1,-.691062891487699,0,0,0,1
5389,1,32,25-34,3,4, ,2,10,4,1,1,5,3,0,0,0,0,0,0,2,0,1,1,-.567454237686297,.6,0,0,.4
5390,1,15,12-17,4,5,3, ,3,1,2,1,16,3,0,0,0,10,0,0,3,0,1,1,-.114222507081153,.1875,0,.625,.1875
5391,1,27,25-34,3,1, ,1,4,1,3,3,1,0,1,0,0,0,0,0,0,0,1,1,-.732265776088167,1,0,0,0
5394,1,39,35-44,3,1, ,2,2,2,4,1,1,1,0,0,0,0,0,0,0,0,1,1,-.732265776088167,1,0,0,0
5395,1,34,25-34,1,1, ,2,4,1,4,1,39,3,3,0,0,3,0,0,30,0,1,1,.833443838729601,.153846153846154,0,.0769230769230769,.769230769230769
5402,1,35,35-44,3,5,3,2,5,1,4,2,22,2,0,0,0,0,0,0,20,0,1,1,.132994800521652,.0909090909090909,0,0,.909090909090909
5403,1,31,25-34,3,1, ,1,6,1,4,3,7,2,0,0,0,0,0,0,4,1,1,1,-.485048468485362,.285714285714286,0,0,.714285714285714
5406,1,23,18-24,4,4, ,2,9,1,4,1,1,1,0,0,0,0,0,0,0,0,1,1,-.732265776088167,1,0,0,0
5408,1,41,35-44,3,1, ,1,7,1,3,3,38,4,0,1,0,12,0,1,20,0,1,1,.792240954129134,.105263157894737,.0263157894736842,.315789473684211,.552631578947368
5412,1,30,25-34,1,3, ,2,5,1,6,3,3,0,0,0,0,3,0,0,0,0,1,1,-.649860006887232,0,0,1,0
5413,1,32,25-34,1,1, ,1,5,4,4,3,12,0,0,0,0,0,0,0,10,2,1,1,-.279034045483024,0,0,0,1
5421,2,33,25-34,3,2, ,1,5,1,6,3,15,4,2,3,1,1,1,1,1,1,1,1,-.155425391681621,.4,.2,.2,.2
5422,1,19,18-24,4,1, , ,7,4,2,1,10,0,0,0,0,0,0,0,10,0,1,1,-.361439814683959,0,0,0,1
5423,1,65,65-74,1,1, ,2,2,3,6,1,2,2,0,0,0,0,0,0,0,0,1,1,-.691062891487699,1,0,0,0
5428,1,18,18-24,1,1, , ,5,2,3,1,10,0,0,0,0,2,0,0,8,0,1,1,-.361439814683959,0,0,.2,.8
5432,1,45,45-54,2,1, ,2,4,1,3,3,4,0,0,0,0,0,0,0,4,0,1,1,-.608657122286764,0,0,0,1
5433,1,18,18-24,2,1, , ,6,1,2,1,35,2,5,0,0,3,0,0,25,0,1,1,.668632300327731,.2,0,.0857142857142857,.714285714285714
5435,1,59,55-64,1,1, ,1,5,1,3,3,5,5,0,0,0,0,0,0,0,0,1,1,-.567454237686297,1,0,0,0
5442,1,47,45-54,1,1, ,1,7,1,3,3,10,0,10,0,0,0,0,0,0,0,1,1,-.361439814683959,1,0,0,0
